0,*,*,*,<random>#Newline              <li>CARAMBA!</li>#Newline              <li>LO DICES EN SERIO</li> #Newline              <li>A VER A VER</li>#Newline              <li>NO ENCUENTRO LA RELACION#Comma</li>#Newline              <li>INTERESANTE#Comma</li>#Newline          </random>#Newline          <random>#Newline              <li>PODRIAS DECIR <star/> DE DIFERENTE MANERA</li>#Newline              <li>SUENA INTERESANTE PERO NO COMPRENDI DEL TODO</li>#Newline              <li>NO COMPRENDO A QUE TE REFIERES CON <star/></li>#Newline              <li>A QUE TE REFIERES CON <star/></li>#Newline              <li>ESTO ES COMPLICADO</li>#Newline              <li>POR QUE CREES QUE <star/> ES IMPORTANTE</li>#Newline              <li>ESO ES COMO DECIR NADA <get name="name"/></li>#Newline              <li>ME DEJASTE SIN PALABRAS <get name="name"/></li>#Newline              <li><get name="name"/> QUE ESTA PASANDO CONCENTREMONOS</li>#Newline              <li><star/>???</li>#Newline          </random>,default.aiml
0,*,*???,*,<random>#Newline      <li>OK OK INTENTEMOS DE NUEVO</li>#Newline      <li>PREGUNTAME LAS CAPITALES DE LA REPUBLICA MEXICANA</li>#Newline      </random>,default.aiml
0,*,* QUE ESTA PASANDO CONCENTREMONOS,*,<random>#Newline      <li>ALMENOS LO INTENTAMOS</li>#Newline      <li>NI HABLAR ES LA PRIMERA VES QUE PLATICAS CON UN BOT</li>#Newline      </random>,default.aiml
0,*,ME DEJASTE SIN PALABRAS *,*,<random>#Newline      <li>LO LOGRASTE DE NUEVO</li>#Newline      <li>TENDRAS ALGO MEJOR QUE HACER?</li>#Newline      </random>,default.aiml
0,*,ESO ES COMO DECIR NADA *,*,<random>#Newline      <li>NO TE PREOCUPES NO ERES TU  SOY YO</li>#Newline      <li>CUANTAS HORAS USAS EL INTERNET AL DIA</li>#Newline      </random>,default.aiml
0,*,POR QUE CREES QUE * ES IMPORTANTE,*,<random>#Newline      <li>NO SE SI ESO FUE RAZONABLE O NO</li>#Newline      <li>CREES EN EL UNIVERSO</li>#Newline      </random>,default.aiml
0,*,ESTO ES COMPLICADO,*,<random>#Newline      <li>JAJAJA</li>#Newline      <li>CREES EN LA REENCARNACION</li>#Newline      </random>,default.aiml
0,*,PODRIAS DECIR * DE DIFERENTE MANERA,*,<random>#Newline      <li>JAJAJA AVECES ES DIFICIL ENTENDER A UN HUMANO PERO CAMBIANDO DE TEMA TE GUSTARIA TENER UN BOT COMO YO</li>#Newline      <li>EN FIN TE GUSTA EL COLOR NEGRO</li>#Newline      </random>,default.aiml
0,*,SUENA INTERESANTE PERO NO COMPRENDI DEL TODO,*,<random>#Newline      <li>ESTA BIEN PERO CAMBIANDO DE TEMA CUAL ES TU ACTOR FAVORITO</li>#Newline      <li>EN FIN TE GUSTA LEER</li>#Newline      </random>,default.aiml
0,*,NO COMPRENDO A QUE TE REFIERES CON *,*,<random>#Newline      <li>AHH NO IMPORTA COMO DICES QUE TE LLAMAS</li>#Newline      <li>EN FIN ESCRIBE EL NOMBRE DE ALGUNA BANDA DE ROCK MAS O MENOS CONOCIDA A VER SI TE PUEDO DAR SU BIOGRAFIA</li>#Newline      </random>,default.aiml
0,*,A QUE TE REFIERES CON *,*,<random>#Newline      <li>OK TIENES PREGUNTAS SOBRE AIML</li>#Newline      <li>QUE SIGNO DEL ZODIACO ERES</li>#Newline      </random>,default.aiml
